edition_year,info,name,price,publisher,ratings
1999-10,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,老人与海,8.20元,吴劳,8.4
2009-3,舒仪 / 中国画报出版社 / 2009-3 / 23.80,曾有一个人，爱我如生命,23.80,中国画报出版社,8.2
2007-1,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元,那些年，我们一起追的女孩,20.00元,花山文艺出版社,8.2
2010-10,蔡康永 著 / 沈阳出版社 / 2010-10 / 25.00元,蔡康永的说话之道,25.00元,沈阳出版社,7.8
2012-6-20,(法)马克·李维 / 段韵灵 / 湖南文艺出版社 / 2012-6-20 / 29.80元,偷影子的人,29.80元,段韵灵,7.8
2002-1,韩寒 / 作家出版社 / 2002-1 / 16.00元,像少年啦飞驰,16.00元,作家出版社,8.6
2011-1,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2011-1 / 33.00元,寻路中国,33.00元,李雪顺,8.6
2009-12-1,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元,孩子你慢慢来,28.00元,生活·读书·新知三联书店,9.0
2010-10,安东尼 / 长江文艺出版社 / 2010-10 / 28.80元,橙,28.80元,长江文艺出版社,9.0
2003-11,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,梦里花落知多少,20.00元,春风文艺出版社,8.9
2004-2,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,达·芬奇密码,28.00元,朱振武,8.9
1997-5,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,万历十五年,18.00元,生活·读书·新知三联书店,8.2
2003-7,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,我们仨,18.80元,生活·读书·新知三联书店,8.2
2003-9,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,哈利·波特与凤凰社,59.00元,马爱农,7.1
2007-2,亦舒 / 新世界出版社 / 2007-2 / 22.00元,喜宝,22.00元,新世界出版社,7.1
2006-12,张爱玲 / 北京十月文艺出版社 / 2006-12 / 28.00元,半生缘,28.00元,北京十月文艺出版社,8.6
2008-1,张德芬 / 华夏出版社 / 2008-1 / 29.00,遇见未知的自己,29.00,华夏出版社,8.4
2003-4,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,一九八四·动物农场,23.00元,董乐山,8.4
2002-2,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元,伊豆的舞女,23.80元,叶渭渠,8.2
2002-12,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元,世界尽头与冷酷仙境,23.00元,林少华,8.2
2008-3,安东尼 / 长江文艺出版社 / 2008-3 / 18.00,陪安东尼度过漫长岁月,18.00,长江文艺出版社,7.8
1997-10,王小波 / 中国青年出版社 / 1997-10 / 27.00元,沉默的大多数,27.00元,中国青年出版社,7.8
2007-11,七堇年 / 长江文艺出版社 / 2007-11 / 22.00元,被窝是青春的坟墓,22.00元,长江文艺出版社,8.6
2009-11,廖信忠 / 重庆出版集团 / 2009-11 / 29.80元,我们台湾这些年,29.80元,重庆出版集团,8.6
